username,repo_name,stars,repo_url
,mrdoob,98000,https://github.com/mrdoob
pmndrs,react-three-fiber,25600,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,22600,https://github.com/libgdx/libgdx
,BabylonJS,22200,https://github.com/BabylonJS
ssloy,tinyrenderer,19100,https://github.com/ssloy/tinyrenderer
FreeCAD,FreeCAD,17100,https://github.com/FreeCAD/FreeCAD
,lettier,16800,https://github.com/lettier
aframevr,aframe,16100,https://github.com/aframevr/aframe
CesiumGS,cesium,11700,https://github.com/CesiumGS/cesium
,blender,11100,https://github.com/blender
MonoGame,MonoGame,10700,https://github.com/MonoGame/MonoGame
,isl-org,10300,https://github.com/isl-org
,metafizzy,10200,https://github.com/metafizzy
timzhang642,3D-Machine-Learning,9400,https://github.com/timzhang642/3D-Machine-Learning
,nerfstudio-project,8200,https://github.com/nerfstudio-project
a1studmuffin,SpaceshipGenerator,7600,https://github.com/a1studmuffin/SpaceshipGenerator
domlysz,BlenderGIS,7100,https://github.com/domlysz/BlenderGIS
FyroxEngine,Fyrox,7100,https://github.com/FyroxEngine/Fyrox
google,model-viewer,6400,https://github.com/google/model-viewer
openscad,openscad,6300,https://github.com/openscad/openscad
