username,repo_name,stars,repo_url
,public-apis,286000,https://github.com/public-apis
neovim,neovim,75000,https://github.com/neovim/neovim
,tiangolo,69300,https://github.com/tiangolo
,hoppscotch,59400,https://github.com/hoppscotch
,strapi,59400,https://github.com/strapi
,ocornut,54800,https://github.com/ocornut
slatedocs,slate,35800,https://github.com/slatedocs/slate
,Kong,32700,https://github.com/Kong
trpc,trpc,32100,https://github.com/trpc/trpc
,httpie,31400,https://github.com/httpie
,ccxt,30800,https://github.com/ccxt
,hasura,30700,https://github.com/hasura
Binaryify,NeteaseCloudMusicApi,30300,https://github.com/Binaryify/NeteaseCloudMusicApi
,QuivrHQ,30100,https://github.com/QuivrHQ
encode,django-rest-framework,27300,https://github.com/encode/django-rest-framework
YMFE,yapi,27000,https://github.com/YMFE/yapi
,directus,25000,https://github.com/directus
littlecodersh,ItChat,24900,https://github.com/littlecodersh/ItChat
microsoft,api-guidelines,22300,https://github.com/microsoft/api-guidelines
PostgREST,postgrest,21900,https://github.com/PostgREST/postgrest
