username,repo_name,stars,repo_url
,bitwarden,14100,https://github.com/bitwarden
dotnet,AspNetCore.Docs,12300,https://github.com/dotnet/AspNetCore.Docs
,abpframework,12100,https://github.com/abpframework
,aspnetboilerplate,11500,https://github.com/aspnetboilerplate
nopSolutions,nopCommerce,8800,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,7100,https://github.com/ElectronNET/Electron.NET
thangchung,clean-code-dotnet,6700,https://github.com/thangchung/clean-code-dotnet
RicoSuter,NSwag,6400,https://github.com/RicoSuter/NSwag
,FastEndpoints,3700,https://github.com/FastEndpoints
dotnet,aspnet-api-versioning,2900,https://github.com/dotnet/aspnet-api-versioning
,smartstore,2600,https://github.com/smartstore
,mjebrahimi,2600,https://github.com/mjebrahimi
serenity-is,Serenity,2500,https://github.com/serenity-is/Serenity
,loic-sharma,2500,https://github.com/loic-sharma
JimBobSquarePants,ImageProcessor,2500,https://github.com/JimBobSquarePants/ImageProcessor
TrilonIO,aspnetcore-angular-universal,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
,milanm,1300,https://github.com/milanm
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
,MarimerLLC,1200,https://github.com/MarimerLLC
,smartstore,1000,https://github.com/smartstore
