username,repo_name,stars,repo_url
,jwasham,280000,https://github.com/jwasham
,trekhleb,181000,https://github.com/trekhleb
TheAlgorithms,Python,177000,https://github.com/TheAlgorithms/Python
CyC2018,CS-Notes,171000,https://github.com/CyC2018/CS-Notes
yangshun,tech-interview-handbook,108000,https://github.com/yangshun/tech-interview-handbook
,krahets,68800,https://github.com/krahets
kdn251,interviews,61400,https://github.com/kdn251/interviews
TheAlgorithms,Java,56200,https://github.com/TheAlgorithms/Java
,azl397985856,53500,https://github.com/azl397985856
youngyangyang04,leetcode-master,46100,https://github.com/youngyangyang04/leetcode-master
algorithm-visualizer,algorithm-visualizer,45900,https://github.com/algorithm-visualizer/algorithm-visualizer
huihut,interview,32500,https://github.com/huihut/interview
halfrost,LeetCode-Go,31600,https://github.com/halfrost/LeetCode-Go
TheAlgorithms,JavaScript,30800,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,28800,https://github.com/TheAlgorithms/C-Plus-Plus
donnemartin,interactive-coding-challenges,28500,https://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,27100,https://github.com/crossoverJie/JCSprout
keon,algorithms,23400,https://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,22600,https://github.com/mxgmn/WaveFunctionCollapse
,trekhleb,22400,https://github.com/trekhleb
