username,repo_name,stars,repo_url
,bregman-arie,62600,https://github.com/bregman-arie
ByteByteGoHq,system-design-101,55700,https://github.com/ByteByteGoHq/system-design-101
,localstack,51600,https://github.com/localstack
serverless,serverless,45900,https://github.com/serverless/serverless
donnemartin,data-science-ipython-notebooks,26300,https://github.com/donnemartin/data-science-ipython-notebooks
sst,sst,19600,https://github.com/sst/sst
pulumi,pulumi,19300,https://github.com/pulumi/pulumi
kubernetes-sigs,kubespray,15200,https://github.com/kubernetes-sigs/kubespray
aws,aws-cli,14800,https://github.com/aws/aws-cli
ramitsurana,awesome-kubernetes,14600,https://github.com/ramitsurana/awesome-kubernetes
getsops,sops,14800,https://github.com/getsops/sops
donnemartin,awesome-aws,12100,https://github.com/donnemartin/awesome-aws
caprover,caprover,12000,https://github.com/caprover/caprover
GoogleCloudPlatform,terraformer,11600,https://github.com/GoogleCloudPlatform/terraformer
aws,aws-cdk,11000,https://github.com/aws/aws-cdk
,apereo,10600,https://github.com/apereo
aws,chalice,10200,https://github.com/aws/chalice
,infracost,10100,https://github.com/infracost
aws,amazon-sagemaker-examples,9400,https://github.com/aws/amazon-sagemaker-examples
hashicorp,terraform-provider-aws,9400,https://github.com/hashicorp/terraform-provider-aws
