username,repo_name,stars,repo_url
,flutter,161000,https://github.com/flutter
facebook,react-native,115000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,109000,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,99800,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,75700,https://github.com/Hack-with-Github/Awesome-Hacking
,Solido,50700,https://github.com/Solido
google,material-design-icons,49600,https://github.com/google/material-design-icons
,wasabeef,48700,https://github.com/wasabeef
,tldr-pages,47800,https://github.com/tldr-pages
square,okhttp,45100,https://github.com/square/okhttp
android,architecture-samples,43700,https://github.com/android/architecture-samples
square,retrofit,42500,https://github.com/square/retrofit
,laurent22,42100,https://github.com/laurent22
,appwrite,40300,https://github.com/appwrite
dcloudio,uni-app,39200,https://github.com/dcloudio/uni-app
,fastlane,38500,https://github.com/fastlane
,skylot,38500,https://github.com/skylot
PhilJay,MPAndroidChart,37200,https://github.com/PhilJay/MPAndroidChart
shadowsocks,shadowsocks-android,34600,https://github.com/shadowsocks/shadowsocks-android
,airbnb,34600,https://github.com/airbnb
