username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,109000,https://github.com/justjavac/free-programming-books-zh_CN
,angular,94100,https://github.com/angular
,storybookjs,82400,https://github.com/storybookjs
leonardomso,33-js-concepts,61500,https://github.com/leonardomso/33-js-concepts
,ionic-team,50300,https://github.com/ionic-team
,prettier,47900,https://github.com/prettier
Asabeneh,30-Days-Of-JavaScript,40600,https://github.com/Asabeneh/30-Days-Of-JavaScript
,SheetJS,34300,https://github.com/SheetJS
,angular,26600,https://github.com/angular
,angular,24000,https://github.com/angular
,NativeScript,23600,https://github.com/NativeScript
goldbergyoni,javascript-testing-best-practices,23400,https://github.com/goldbergyoni/javascript-testing-best-practices
,nrwl,21600,https://github.com/nrwl
,wailsapp,21500,https://github.com/wailsapp
sudheerj,javascript-interview-questions,21200,https://github.com/sudheerj/javascript-interview-questions
,jhipster,21200,https://github.com/jhipster
,pubkey,20400,https://github.com/pubkey
teambit,bit,17400,https://github.com/teambit/bit
,sweetalert2,16700,https://github.com/sweetalert2
paperless-ngx,paperless-ngx,16000,https://github.com/paperless-ngx/paperless-ngx
