username,repo_name,stars,repo_url
,bregman-arie,62600,https://github.com/bregman-arie
ansible,ansible,60600,https://github.com/ansible/ansible
,trailofbits,28200,https://github.com/trailofbits
,MichaelCade,25400,https://github.com/MichaelCade
StreisandEffect,streisand,23100,https://github.com/StreisandEffect/streisand
kubernetes-sigs,kubespray,15200,https://github.com/kubernetes-sigs/kubespray
ansible,awx,13300,https://github.com/ansible/awx
easzlab,kubeasz,10000,https://github.com/easzlab/kubeasz
,ansible-semaphore,9000,https://github.com/ansible-semaphore
geerlingguy,ansible-for-devops,7900,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,7600,https://github.com/khuedoan/homelab
,netbootxyz,7600,https://github.com/netbootxyz
,Tikam02,7500,https://github.com/Tikam02
geerlingguy,mac-dev-playbook,5700,https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,5300,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,4900,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,4500,https://github.com/clong/DetectionLab
,ansible,3800,https://github.com/ansible
dev-sec,ansible-collection-hardening,3600,https://github.com/dev-sec/ansible-collection-hardening
opendevops-cn,opendevops,3600,https://github.com/opendevops-cn/opendevops
