username,repo_name,stars,repo_url
,arendst,21200,https://github.com/arendst
,MarlinFirmware,15700,https://github.com/MarlinFirmware
tinygo-org,tinygo,14300,https://github.com/tinygo-org/tinygo
arduino,Arduino,14000,https://github.com/arduino/Arduino
rwaldron,johnny-five,13200,https://github.com/rwaldron/johnny-five
SpacehuhnTech,esp8266_deauther,12800,https://github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,12300,https://github.com/espressif/arduino-esp32
gurugio,lowlevelprogramming-university,9400,https://github.com/gurugio/lowlevelprogramming-university
hybridgroup,gobot,8700,https://github.com/hybridgroup/gobot
platformio,platformio-core,7400,https://github.com/platformio/platformio-core
,bblanchon,6500,https://github.com/bblanchon
tzapu,WiFiManager,6300,https://github.com/tzapu/WiFiManager
olikraus,u8g2,4700,https://github.com/olikraus/u8g2
justcallmekoko,ESP32Marauder,4300,https://github.com/justcallmekoko/ESP32Marauder
Arduino-IRremote,Arduino-IRremote,4200,https://github.com/Arduino-IRremote/Arduino-IRremote
ClemensElflein,OpenMower,4200,https://github.com/ClemensElflein/OpenMower
,arduino,4100,https://github.com/arduino
,Serial-Studio,4000,https://github.com/Serial-Studio
hybridgroup,cylon,4000,https://github.com/hybridgroup/cylon
blynkkk,blynk-library,3800,https://github.com/blynkkk/blynk-library
