username,repo_name,stars,repo_url
,sindresorhus,294000,https://github.com/sindresorhus
vinta,awesome-python,201000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,173000,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,126000,https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,118000,https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,83300,https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,82400,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,75700,https://github.com/Hack-with-Github/Awesome-Hacking
,jaywcjlove,69800,https://github.com/jaywcjlove
DopplerHQ,awesome-interview-questions,65500,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,62500,https://github.com/MunGell/awesome-for-beginners
enaqx,awesome-react,61300,https://github.com/enaqx/awesome-react
,sindresorhus,55300,https://github.com/sindresorhus
fffaraz,awesome-cpp,54500,https://github.com/fffaraz/awesome-cpp
prakhar1989,awesome-courses,53000,https://github.com/prakhar1989/awesome-courses
,binhnguyennus,52400,https://github.com/binhnguyennus
,Solido,50700,https://github.com/Solido
,wasabeef,48700,https://github.com/wasabeef
vsouza,awesome-ios,45400,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,45000,https://github.com/tiimgreen/github-cheat-sheet
