username,repo_name,stars,repo_url
,bregman-arie,62600,https://github.com/bregman-arie
,microsoft,29300,https://github.com/microsoft
pulumi,pulumi,19300,https://github.com/pulumi/pulumi
recommenders-team,recommenders,17700,https://github.com/recommenders-team/recommenders
ramitsurana,awesome-kubernetes,14600,https://github.com/ramitsurana/awesome-kubernetes
getsops,sops,14800,https://github.com/getsops/sops
,Azure,13600,https://github.com/Azure
caprover,caprover,12000,https://github.com/caprover/caprover
,infracost,10100,https://github.com/infracost
,prowler-cloud,9400,https://github.com/prowler-cloud
,google,9300,https://github.com/google
,microsoft,9300,https://github.com/microsoft
danny-avila,LibreChat,8700,https://github.com/danny-avila/LibreChat
,milanm,8200,https://github.com/milanm
,Netflix,7500,https://github.com/Netflix
microsoft,azuredatastudio,7400,https://github.com/microsoft/azuredatastudio
midwayjs,midway,7100,https://github.com/midwayjs/midway
budtmo,docker-android,7100,https://github.com/budtmo/docker-android
,node-formidable,6900,https://github.com/node-formidable
thangchung,clean-code-dotnet,6700,https://github.com/thangchung/clean-code-dotnet
