username,repo_name,stars,repo_url
,jlevy,146000,https://github.com/jlevy
,nvm-sh,74600,https://github.com/nvm-sh
,junegunn,58600,https://github.com/junegunn
,google,40500,https://github.com/google
,starship,39800,https://github.com/starship
LeCoupa,awesome-cheatsheets,36900,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,35900,https://github.com/acmesh-official/acme.sh
dylanaraps,pure-bash-bible,35700,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,34700,https://github.com/koalaman/shellcheck
alebcay,awesome-shell,30600,https://github.com/alebcay/awesome-shell
mathiasbynens,dotfiles,29700,https://github.com/mathiasbynens/dotfiles
,jaywcjlove,27600,https://github.com/jaywcjlove
,withfig,24200,https://github.com/withfig
asdf-vm,asdf,20100,https://github.com/asdf-vm/asdf
dylanaraps,neofetch,20000,https://github.com/dylanaraps/neofetch
kingToolbox,WindTerm,19800,https://github.com/kingToolbox/WindTerm
Nyr,openvpn-install,18200,https://github.com/Nyr/openvpn-install
,warpdotdev,18200,https://github.com/warpdotdev
,ajeetdsouza,17200,https://github.com/ajeetdsouza
atuinsh,atuin,17000,https://github.com/atuinsh/atuin
