username,repo_name,stars,repo_url
,ccxt,30800,https://github.com/ccxt
,discordjs,24600,https://github.com/discordjs
python-telegram-bot,python-telegram-bot,24500,https://github.com/python-telegram-bot/python-telegram-bot
,wechaty,18600,https://github.com/wechaty
,RasaHQ,17700,https://github.com/RasaHQ
hubotio,hubot,16500,https://github.com/hubotio/hubot
InstaPy,InstaPy,16200,https://github.com/InstaPy/InstaPy
,leon-ai,14400,https://github.com/leon-ai
Rapptz,discord.py,14100,https://github.com/Rapptz/discord.py
gunthercox,ChatterBot,13900,https://github.com/gunthercox/ChatterBot
tgbot-collection,YYeTsBot,13800,https://github.com/tgbot-collection/YYeTsBot
,pedroslopez,13100,https://github.com/pedroslopez
,lss233,11600,https://github.com/lss233
howdyai,botkit,11300,https://github.com/howdyai/botkit
Mrs4s,go-cqhttp,10100,https://github.com/Mrs4s/go-cqhttp
sfyc23,EverydayWechat,9800,https://github.com/sfyc23/EverydayWechat
yagop,node-telegram-bot-api,7800,https://github.com/yagop/node-telegram-bot-api
microsoft,ailab,7600,https://github.com/microsoft/ailab
,telegraf,7500,https://github.com/telegraf
microsoft,botframework-sdk,7300,https://github.com/microsoft/botframework-sdk
