username,repo_name,stars,repo_url
CyC2018,CS-Notes,171000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,160000,https://github.com/practical-tutorials/project-based-learning
fffaraz,awesome-cpp,54500,https://github.com/fffaraz/awesome-cpp
,azl397985856,53500,https://github.com/azl397985856
youngyangyang04,leetcode-master,46100,https://github.com/youngyangyang04/leetcode-master
,x64dbg,42900,https://github.com/x64dbg
Light-City,CPlusPlusThings,36300,https://github.com/Light-City/CPlusPlusThings
huihut,interview,32500,https://github.com/huihut/interview
carbon-language,carbon-lang,32100,https://github.com/carbon-language/carbon-lang
,CMU-Perceptual-Computing-Lab,29500,https://github.com/CMU-Perceptual-Computing-Lab
TheAlgorithms,C-Plus-Plus,28800,https://github.com/TheAlgorithms/C-Plus-Plus
,microsoft,28700,https://github.com/microsoft
,doocs,28300,https://github.com/doocs
,aseprite,26000,https://github.com/aseprite
,changkun,22900,https://github.com/changkun
,dragonflydb,22500,https://github.com/dragonflydb
ethereum,solidity,22000,https://github.com/ethereum/solidity
gabime,spdlog,21800,https://github.com/gabime/spdlog
microsoft,vcpkg,21100,https://github.com/microsoft/vcpkg
ssloy,tinyrenderer,19100,https://github.com/ssloy/tinyrenderer
