username,repo_name,stars,repo_url
Genymobile,scrcpy,99800,https://github.com/Genymobile/scrcpy
neovim,neovim,75000,https://github.com/neovim/neovim
,obsproject,54700,https://github.com/obsproject
fffaraz,awesome-cpp,54500,https://github.com/fffaraz/awesome-cpp
git,git,49100,https://github.com/git/git
FFmpeg,FFmpeg,41500,https://github.com/FFmpeg/FFmpeg
,serhii-londar,39000,https://github.com/serhii-londar
vim,vim,34600,https://github.com/vim/vim
,curl,33700,https://github.com/curl
huihut,interview,32500,https://github.com/huihut/interview
ggreer,the_silver_searcher,25600,https://github.com/ggreer/the_silver_searcher
mpv-player,mpv,25500,https://github.com/mpv-player/mpv
,ossrs,23900,https://github.com/ossrs
,google,21900,https://github.com/google
,kovidgoyal,21500,https://github.com/kovidgoyal
ruby,ruby,21400,https://github.com/ruby/ruby
microsoft,vcpkg,21100,https://github.com/microsoft/vcpkg
hashcat,hashcat,19600,https://github.com/hashcat/hashcat
radareorg,radare2,19400,https://github.com/radareorg/radare2
,raysan5,18200,https://github.com/raysan5
