username,repo_name,stars,repo_url
electron,electron,111000,https://github.com/electron/electron
puppeteer,puppeteer,86400,https://github.com/puppeteer/puppeteer
,microsoft,60200,https://github.com/microsoft
iamadamdev,bypass-paywalls-chrome,45800,https://github.com/iamadamdev/bypass-paywalls-chrome
,FiloSottile,45000,https://github.com/FiloSottile
,jaywcjlove,27600,https://github.com/jaywcjlove
,ovity,22700,https://github.com/ovity
segment-boneyard,nightmare,19500,https://github.com/segment-boneyard/nightmare
,checkly,14900,https://github.com/checkly
GoogleChrome,chrome-extensions-samples,14000,https://github.com/GoogleChrome/chrome-extensions-samples
google,WebFundamentals,13900,https://github.com/google/WebFundamentals
,gildas-lormeau,13300,https://github.com/gildas-lormeau
schickling,chromeless,13200,https://github.com/schickling/chromeless
casesandberg,react-color,11800,https://github.com/casesandberg/react-color
,crimx,11500,https://github.com/crimx
MetaMask,metamask-extension,11300,https://github.com/MetaMask/metamask-extension
chromedp,chromedp,10200,https://github.com/chromedp/chromedp
,moonD4rk,9800,https://github.com/moonD4rk
ajayyy,SponsorBlock,8500,https://github.com/ajayyy/SponsorBlock
uBlock-LLC,uBlock,8200,https://github.com/uBlock-LLC/uBlock
