username,repo_name,stars,repo_url
realm,SwiftLint,18200,https://github.com/realm/SwiftLint
facebook,infer,14600,https://github.com/facebook/infer
,analysis-tools-dev,12700,https://github.com/analysis-tools-dev
,federico-busato,10500,https://github.com/federico-busato
,Kristories,9400,https://github.com/Kristories
super-linter,super-linter,9100,https://github.com/super-linter/super-linter
SonarSource,sonarqube,8500,https://github.com/SonarSource/sonarqube
,checkstyle,8100,https://github.com/checkstyle
,reviewdog,7200,https://github.com/reviewdog
facebook,pyre-check,6700,https://github.com/facebook/pyre-check
,detekt,6000,https://github.com/detekt
import-js,eslint-plugin-import,5200,https://github.com/import-js/eslint-plugin-import
,trekhleb,5200,https://github.com/trekhleb
pylint-dev,pylint,5100,https://github.com/pylint-dev/pylint
simplecov-ruby,simplecov,4700,https://github.com/simplecov-ruby/simplecov
pmd,pmd,4600,https://github.com/pmd/pmd
kucherenko,jscpd,4500,https://github.com/kucherenko/jscpd
phpro,grumphp,4100,https://github.com/phpro/grumphp
htmlhint,HTMLHint,3000,https://github.com/htmlhint/HTMLHint
codeclimate,codeclimate,2500,https://github.com/codeclimate/codeclimate
