username,repo_name,stars,repo_url
,ohmyzsh,168000,https://github.com/ohmyzsh
,junegunn,58600,https://github.com/junegunn
sherlock-project,sherlock,50400,https://github.com/sherlock-project/sherlock
,sharkdp,45700,https://github.com/sharkdp
BurntSushi,ripgrep,44000,https://github.com/BurntSushi/ripgrep
jesseduffield,lazygit,43800,https://github.com/jesseduffield/lazygit
wagoodman,dive,43000,https://github.com/wagoodman/dive
,google,40500,https://github.com/google
,n8n-io,39500,https://github.com/n8n-io
chubin,cheat.sh,37200,https://github.com/chubin/cheat.sh
spf13,cobra,35500,https://github.com/spf13/cobra
,cli,34900,https://github.com/cli
,httpie,31400,https://github.com/httpie
sharkdp,fd,31100,https://github.com/sharkdp/fd
alebcay,awesome-shell,30600,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,29500,https://github.com/ibraheemdev/modern-unix
acheong08,ChatGPT,27800,https://github.com/acheong08/ChatGPT
tqdm,tqdm,27200,https://github.com/tqdm/tqdm
,angular,26600,https://github.com/angular
google,python-fire,26100,https://github.com/google/python-fire
