username,repo_name,stars,repo_url
,vercel,119000,https://github.com/vercel
rust-lang,rust,91600,https://github.com/rust-lang/rust
,sveltejs,75800,https://github.com/sveltejs
webpack,webpack,64000,https://github.com/webpack/webpack
FuelLabs,sway,60800,https://github.com/FuelLabs/sway
gatsbyjs,gatsby,55000,https://github.com/gatsbyjs/gatsby
,JetBrains,47200,https://github.com/JetBrains
parcel-bundler,parcel,43000,https://github.com/parcel-bundler/parcel
babel,babel,42800,https://github.com/babel/babel
evanw,esbuild,37000,https://github.com/evanw/esbuild
vlang,v,35200,https://github.com/vlang/v
carbon-language,carbon-lang,32100,https://github.com/carbon-language/carbon-lang
markedjs,marked,31600,https://github.com/markedjs/marked
swc-project,swc,29700,https://github.com/swc-project/swc
ziglang,zig,29400,https://github.com/ziglang/zig
typst,typst,26900,https://github.com/typst/typst
,vercel,24200,https://github.com/vercel
v8,v8,22500,https://github.com/v8/v8
,oracle,19700,https://github.com/oracle
RustPython,RustPython,17400,https://github.com/RustPython/RustPython
